sagoNo,sido,sigungu,sagoReason,sagoDate,dong,addr,sagoLat,sagoLon,sinkWidth,sinkExtend,sinkDepth,grdKind,sagoDetail,deathCnt,injuryCnt,vehicleCnt,trStatus,trMethod,trAmt,trFnDate,daStDate,full_addr,lon,lat,geo_query,geo_method,geo_level,x_5187,y_5187
20200066,부산광역시,사하구,,20200313,,다대로 52 일원,0E-10,0E-10,1.00,1.50,0.90,,,0,0,0,복구완료,터파기 공사 후 지반 다짐 및 도로포장,0,20200331,00010101,다대로 52 일원,128.977256198969,35.0978411925049,부산광역시 사하구 다대로 52,address,번지,197926.23,277949.76
20200067,부산광역시,사상구,,20200428,,광장로 56,0E-10,0E-10,4.00,4.00,2.00,,,0,0,2,복구완료,되메우기 재시공 및 포장 복구 완료,0,20200503,00010101,광장로 56,128.982752069569,35.1619028320599,부산광역시 사상구 광장로 56,address,번지,198428.58,285056.85
20200068,부산광역시,영도구,,20200506,,봉래나루로 234번길 5,0E-10,0E-10,1.00,1.00,1.80,,,0,0,0,복구완료,하수관 보수 및 소파 보수 조치,0,20200508,00010101,봉래나루로 234번길 5,129.041810024183,35.0961329182273,부산광역시 영도구 봉래나루로,address,번지,203812.29,277760.81
20200069,부산광역시,북구,,20200509,구포동,1002-9 인접보도(구명역 사상방면 엘리베이터 입구),0E-10,0E-10,1.50,2.00,1.50,,,0,1,0,복구완료,소파업체 공동발생 원인파악 및 복구완료,0,20200510,00010101,구포동 1002-9 인접보도(구명역 사상방면 엘리베이터 입구),128.999443088592,35.2029567124999,부산광역시 북구 구포동 1002-9,address,번지,199949.29,289611.39
20200070,부산광역시,남구,,20200520,,수영로 45 앞,0E-10,0E-10,1.00,5.00,1.50,,,0,0,0,복구완료,지반 유실된 부위에 몰탈 주입 후 되메움 시행,0,20200521,00010101,수영로 45 앞,129.072922689407,35.1366867262003,부산광역시 남구 수영로 45,address,번지,206645.89,282261.59
20200071,부산광역시,남구,,20200622,문현동,651-6,0E-10,0E-10,0.50,0.80,1.50,,,0,0,0,복구완료,되메움 시행,0,20200622,00010101,문현동 651-6,129.06769887758,35.1385022734637,부산광역시 남구 문현동 651-6,address,번지,206169.68,282462.68
20200072,부산광역시,서구,,20200626,,충무대로 209-2,0E-10,0E-10,1.50,1.50,0.70,,,0,0,0,복구완료,세골부 골재 채움 및 포장 복구 완료 후 부산 환경공단 점검 요청,0,20200703,00010101,충무대로 209-2,129.024905621208,35.0835510410136,부산광역시 서구 충무대로,address,번지,202271.28,276364.43
20200094,부산광역시,사상구,,20200318,삼락동,29-61,0E-10,0E-10,50.00,50.00,10.00,,,0,0,0,복구완료,지반 침하구간 되메우기 복구 완료,0,20200330,00010101,삼락동 29-61,128.967043212853,35.1593279510206,부산광역시 사상구 삼락동 29-61,address,번지,196997.28,284771.55
20200142,부산광역시,연제구,,20201005,연산동,"월드컵대로140(연산동1516-16,연산역 5번출구 앞)",0E-10,0E-10,3.00,8.00,2.00,기타,,0,0,0,복구완료,되메우기 및 포장 복구 완료,0,20201005,00010101,"연산동 월드컵대로140(연산동1516-16,연산역 5번출구 앞)",129.080968530527,35.1865439179141,부산광역시 연제구 연산동 월드컵대로140,address,번지,207374.66,287793.49
20200177,부산광역시,중구,,20200730,영주동,1-144,0E-10,0E-10,3.00,2.00,1.50,,,0,0,0,복구완료,침하지 복구(골재 채움 및 잔여 침하로 인하여 콘크리트 기층 포장) 및 주변 하수시설 비굴착 보수공사 시행,0,20200731,00010101,영주동 1-144,129.031881822233,35.1150762763457,부산광역시 중구 영주동 1-144,address,번지,202906.35,279862.1
20200192,부산광역시,금정구,,20200809,서동,서동 502-4번지 앞(서동시립도서관~금정구장애인복지관 앞),0E-10,0E-10,1.00,1.00,1.00,,,0,0,0,복구완료,"하수관 보수, 굴착부분 되메우기 재시공 및 포장 복구 완료",0,20200811,00010101,서동 서동 502-4번지 앞(서동시립도서관~금정구장애인복지관 앞),129.098820738189,35.2196159951432,부산광역시 금정구 서동 서동 502-4,address,번지,208997.0,291464.12
20200193,부산광역시,금정구,,20200819,장전동,장전동 732 일원(금정산쌍용예가 사거리),0E-10,0E-10,1.00,1.00,1.00,,,0,0,0,복구완료,흙 다지기 및 되메우기 및 포장 복구 완료,0,20200821,00010101,장전동 장전동 732 일원(금정산쌍용예가 사거리),129.084468256178,35.2429356225492,부산광역시 금정구 장전동 장전동 732,address,번지,207688.09,294050.11
20200194,부산광역시,금정구,,20200828,부곡동,동현로 65-1 앞(동광교회 앞),0E-10,0E-10,3.00,2.00,1.00,,,0,0,0,복구완료,"하수관 보수, 굴착부분 되메우기 재시공 및 포장 복구 완료",0,20200830,00010101,부곡동 동현로 65-1 앞(동광교회 앞),129.095770618487,35.2227727689344,부산광역시 금정구 부곡동 동현로 65-1,address,번지,208718.96,291814.08
20200236,부산광역시,부산진구,,20200706,범천동,847-2,0E-10,0E-10,1.00,1.00,0.80,,,0,0,0,복구완료,흙 다지기 및 되메우기 재시공 및 포장 복구 완료,0,20200730,00010101,범천동 847-2,129.059726174375,35.1440807734634,부산광역시 부산진구 범천동 847-2,address,번지,205442.72,283081.11
20200237,부산광역시,부산진구,,20200711,전포동,428-1,0E-10,0E-10,1.00,1.00,0.50,,,0,0,0,복구완료,흙 다지기 및 되메우기 재시공 및 포장 복구 완료,0,20200711,00010101,전포동 428-1,129.071226616737,35.1572562696178,부산광역시 부산진구 전포동,address,도로/동,206489.68,284543.53
